participant,condition,stage,measure,value
PT_01,Autoencoder,Gated Convergence,position error (cm),7.453021741455991
PT_02,Autoencoder,Gated Convergence,position error (cm),4.523994548219891
PT_03,Autoencoder,Gated Convergence,position error (cm),9.429350474540543
PT_05,Autoencoder,Gated Convergence,position error (cm),2.580049971728749
PT_06,Autoencoder,Gated Convergence,position error (cm),2.54157680169716
PT_07,Autoencoder,Gated Convergence,position error (cm),4.800500827820432
PT_08,Autoencoder,Gated Convergence,position error (cm),4.130714820139448
PT_09,Autoencoder,Gated Convergence,position error (cm),3.080525379206449
PT_10,Autoencoder,Gated Convergence,position error (cm),2.9583022562257955
PT_11,Autoencoder,Gated Convergence,position error (cm),3.388105845726078
PT_12,Autoencoder,Gated Convergence,position error (cm),2.601703426426672
PT_13,Autoencoder,Gated Convergence,position error (cm),4.447540082319508
PT_01,ResNet,Gated Convergence,position error (cm),8.496295829275894
PT_02,ResNet,Gated Convergence,position error (cm),4.508597377314672
PT_03,ResNet,Gated Convergence,position error (cm),11.833790391189671
PT_05,ResNet,Gated Convergence,position error (cm),3.863153974184411
PT_06,ResNet,Gated Convergence,position error (cm),3.2289508737335013
PT_07,ResNet,Gated Convergence,position error (cm),4.874943876345797
PT_08,ResNet,Gated Convergence,position error (cm),5.100359815862137
PT_09,ResNet,Gated Convergence,position error (cm),3.802872236157998
PT_10,ResNet,Gated Convergence,position error (cm),3.4842457914554403
PT_11,ResNet,Gated Convergence,position error (cm),4.260553373909838
PT_12,ResNet,Gated Convergence,position error (cm),2.869781572784813
PT_13,ResNet,Gated Convergence,position error (cm),4.81048238446107
PT_01,VGGNet,Gated Convergence,position error (cm),5.517907129881646
PT_02,VGGNet,Gated Convergence,position error (cm),4.621225030616031
PT_03,VGGNet,Gated Convergence,position error (cm),8.843620502416245
PT_05,VGGNet,Gated Convergence,position error (cm),2.569371143601625
PT_06,VGGNet,Gated Convergence,position error (cm),2.4834658399186584
PT_07,VGGNet,Gated Convergence,position error (cm),4.847708592752248
PT_08,VGGNet,Gated Convergence,position error (cm),3.338292222301708
PT_09,VGGNet,Gated Convergence,position error (cm),2.903086313752871
PT_10,VGGNet,Gated Convergence,position error (cm),2.827410397868129
PT_11,VGGNet,Gated Convergence,position error (cm),3.1213136503976364
PT_12,VGGNet,Gated Convergence,position error (cm),2.5461490089815664
PT_13,VGGNet,Gated Convergence,position error (cm),4.475083336835145
PT_01,AG-Pose,Final,position error (cm),6.750294737164107
PT_02,AG-Pose,Final,position error (cm),4.12821230603145
PT_03,AG-Pose,Final,position error (cm),7.8938519836856385
PT_05,AG-Pose,Final,position error (cm),7.710771394770002
PT_06,AG-Pose,Final,position error (cm),7.196087806902122
PT_07,AG-Pose,Final,position error (cm),9.241046938016767
PT_08,AG-Pose,Final,position error (cm),7.358411752338192
PT_09,AG-Pose,Final,position error (cm),7.320033829442278
PT_10,AG-Pose,Final,position error (cm),7.339988827194487
PT_11,AG-Pose,Final,position error (cm),10.385699922592087
PT_12,AG-Pose,Final,position error (cm),8.204314296912498
PT_13,AG-Pose,Final,position error (cm),7.876990519624245
PT_01,SimTact,Final,force error (%),14.489030620820117
PT_04,SimTact,Final,force error (%),24.24799133155677
PT_05,SimTact,Final,force error (%),16.936117944618065
PT_06,SimTact,Final,force error (%),7.727006780397561
PT_07,SimTact,Final,force error (%),4.0923736658361225
PT_08,SimTact,Final,force error (%),7.488291926371554
PT_09,SimTact,Final,force error (%),9.484113218883673
PT_10,SimTact,Final,force error (%),12.675433040906986
PT_11,SimTact,Final,force error (%),5.260089840739965
PT_12,SimTact,Final,force error (%),11.975709860109621
PT_13,SimTact,Final,force error (%),15.511418590322137
PT_01,ToolForce,Final,torque error (%),13.777821641305966
PT_04,ToolForce,Final,torque error (%),26.075531794157957
PT_05,ToolForce,Final,torque error (%),9.710195440178117
PT_06,ToolForce,Final,torque error (%),16.127260206267238
PT_07,ToolForce,Final,torque error (%),11.925003678641385
PT_08,ToolForce,Final,torque error (%),9.29003881600996
PT_09,ToolForce,Final,torque error (%),11.559649456499352
PT_10,ToolForce,Final,torque error (%),21.316204335954453
PT_11,ToolForce,Final,torque error (%),8.41154707595706
PT_12,ToolForce,Final,torque error (%),12.529357636554373
PT_13,ToolForce,Final,torque error (%),7.472097997864087
PT_01,Complete framework,Perceptual Guess,force error (%),13.25746620490598
PT_04,Complete framework,Perceptual Guess,force error (%),19.18978986802835
PT_05,Complete framework,Perceptual Guess,force error (%),8.540987068166329
PT_06,Complete framework,Perceptual Guess,force error (%),12.38166139150659
PT_07,Complete framework,Perceptual Guess,force error (%),6.23740033557017
PT_08,Complete framework,Perceptual Guess,force error (%),10.13365769137938
PT_09,Complete framework,Perceptual Guess,force error (%),3.73537339270114
PT_10,Complete framework,Perceptual Guess,force error (%),9.95798275599049
PT_11,Complete framework,Perceptual Guess,force error (%),4.411573136846219
PT_12,Complete framework,Perceptual Guess,force error (%),10.54155686663256
PT_13,Complete framework,Perceptual Guess,force error (%),7.221001908183091
PT_01,Complete framework,Perceptual Guess,position error (cm),4.918520810678029
PT_02,Complete framework,Perceptual Guess,position error (cm),9.218180076274525
PT_03,Complete framework,Perceptual Guess,position error (cm),9.376192614613297
PT_05,Complete framework,Perceptual Guess,position error (cm),5.985050309900954
PT_06,Complete framework,Perceptual Guess,position error (cm),7.130299793746081
PT_07,Complete framework,Perceptual Guess,position error (cm),9.1237160554479
PT_08,Complete framework,Perceptual Guess,position error (cm),7.295376330597773
PT_09,Complete framework,Perceptual Guess,position error (cm),7.340193682988861
