source_type,participant,measure,error
human,PT_01,orientation error (degree),5.597796440124512
human,PT_01,orientation error (degree),4.40922212600708
human,PT_01,orientation error (degree),3.669597864151001
human,PT_01,orientation error (degree),5.118793964385986
human,PT_01,orientation error (degree),4.901288986206055
human,PT_01,orientation error (degree),3.0632436275482178
human,PT_01,orientation error (degree),2.74936842918396
human,PT_01,orientation error (degree),7.446872711181641
human,PT_01,orientation error (degree),8.617963790893555
human,PT_01,orientation error (degree),8.94017505645752
human,PT_01,orientation error (degree),6.443572521209717
human,PT_01,orientation error (degree),5.220069885253906
human,PT_01,orientation error (degree),6.577422618865967
human,PT_01,orientation error (degree),6.018094062805176
human,PT_01,orientation error (degree),5.087387561798096
human,PT_01,orientation error (degree),4.565744400024414
human,PT_01,orientation error (degree),4.20803165435791
human,PT_01,orientation error (degree),4.7125163078308105
human,PT_01,orientation error (degree),4.546656608581543
human,PT_01,orientation error (degree),9.542913436889648
human,PT_01,orientation error (degree),7.2960028648376465
human,PT_01,orientation error (degree),7.414762020111084
human,PT_01,orientation error (degree),6.541428565979004
human,PT_01,orientation error (degree),5.201268672943115
human,PT_01,orientation error (degree),8.144590377807617
human,PT_01,orientation error (degree),4.1840410232543945
human,PT_01,orientation error (degree),6.877687454223633
human,PT_01,orientation error (degree),3.5851755142211914
human,PT_01,orientation error (degree),4.800650596618652
human,PT_01,orientation error (degree),4.540966033935547
human,PT_01,orientation error (degree),0.8531750440597534
human,PT_01,orientation error (degree),5.261719703674316
human,PT_01,orientation error (degree),10.15167999267578
human,PT_01,orientation error (degree),5.475396633148193
human,PT_01,orientation error (degree),4.6193156242370605
human,PT_01,orientation error (degree),4.376674652099609
human,PT_01,orientation error (degree),5.804072380065918
human,PT_01,orientation error (degree),4.318378925323486
human,PT_01,orientation error (degree),5.413993835449219
human,PT_01,orientation error (degree),4.462473392486572
human,PT_01,orientation error (degree),2.2762367725372314
human,PT_01,orientation error (degree),6.147331714630127
human,PT_01,orientation error (degree),5.645488262176514
human,PT_01,orientation error (degree),4.842580795288086
human,PT_01,orientation error (degree),3.027761459350586
human,PT_01,orientation error (degree),4.852602958679199
human,PT_01,orientation error (degree),8.163515090942383
human,PT_01,orientation error (degree),3.490763664245605
human,PT_01,orientation error (degree),2.0799899101257324
human,PT_01,orientation error (degree),5.255310535430908
human,PT_01,orientation error (degree),5.284313201904297
human,PT_01,orientation error (degree),4.3193769454956055
human,PT_01,orientation error (degree),1.9878065586090088
human,PT_01,orientation error (degree),1.7373119592666626
human,PT_01,orientation error (degree),2.679126501083374
human,PT_01,orientation error (degree),3.483914375305176
human,PT_01,orientation error (degree),2.2913200855255127
human,PT_01,orientation error (degree),2.9337151050567627
human,PT_01,orientation error (degree),0.9099971652030944
human,PT_01,orientation error (degree),6.2686028480529785
human,PT_01,orientation error (degree),4.606321334838867
human,PT_01,orientation error (degree),6.401869297027588
human,PT_01,orientation error (degree),3.7005226612091056
human,PT_01,orientation error (degree),2.6478195190429688
human,PT_01,orientation error (degree),4.280112266540527
human,PT_01,orientation error (degree),3.069882869720459
human,PT_01,orientation error (degree),2.3398373126983643
human,PT_01,orientation error (degree),1.5272624492645264
human,PT_01,orientation error (degree),2.9926440715789795
human,PT_01,orientation error (degree),4.002131462097168
human,PT_01,orientation error (degree),4.408955097198486
human,PT_01,orientation error (degree),3.4471917152404785
human,PT_01,orientation error (degree),3.485262632369995
human,PT_01,orientation error (degree),4.8622822761535645
human,PT_01,orientation error (degree),3.948138475418091
human,PT_01,orientation error (degree),7.344141960144043
human,PT_01,orientation error (degree),4.202722549438477
human,PT_01,orientation error (degree),4.369508266448975
human,PT_01,orientation error (degree),4.636415481567383
human,PT_01,orientation error (degree),6.453728199005127
human,PT_01,orientation error (degree),5.3867058753967285
human,PT_01,orientation error (degree),7.010785102844238
human,PT_01,orientation error (degree),7.0448384284973145
human,PT_01,orientation error (degree),6.559988498687744
human,PT_01,orientation error (degree),1.874297261238098
human,PT_01,orientation error (degree),3.553028106689453
human,PT_01,orientation error (degree),1.468204379081726
