participant,condition,correct_count,trial_count
PT_01,bare_hand,37,50
PT_01,glove,35,50
PT_02,bare_hand,34,50
PT_02,glove,41,50
PT_03,bare_hand,37,50
PT_03,glove,34,50
PT_04,bare_hand,35,50
PT_04,glove,39,50
PT_05,bare_hand,35,50
PT_05,glove,37,50
PT_06,bare_hand,34,50
PT_06,glove,37,50
PT_07,bare_hand,39,50
PT_07,glove,37,50
PT_08,bare_hand,28,50
PT_08,glove,36,50
PT_09,bare_hand,41,50
PT_09,glove,42,50
PT_10,bare_hand,40,50
PT_10,glove,43,50
PT_11,bare_hand,38,50
PT_11,glove,38,50
PT_12,bare_hand,32,50
PT_12,glove,29,50
PT_13,bare_hand,29,50
PT_13,glove,32,50
PT_14,bare_hand,40,50
PT_14,glove,37,50
PT_15,bare_hand,42,50
PT_15,glove,45,50
PT_16,bare_hand,35,50
PT_16,glove,38,50
PT_17,bare_hand,47,50
PT_17,glove,40,50
PT_18,bare_hand,37,50
PT_18,glove,40,50
PT_19,bare_hand,35,50
PT_19,glove,27,50
PT_20,bare_hand,31,50
PT_20,glove,29,50
PT_21,bare_hand,39,50
PT_21,glove,31,50
PT_22,bare_hand,44,50
PT_22,glove,38,50
PT_23,bare_hand,39,50
PT_23,glove,45,50
PT_24,bare_hand,41,50
PT_24,glove,37,50
PT_25,bare_hand,40,50
PT_25,glove,38,50
PT_26,bare_hand,36,50
PT_26,glove,26,50
