condition,measure,observed,estimated
scalpel loading,force (N),0.0559534430503845,1.7320225191116332
scalpel loading,force (N),0.1115798890590667,1.801845541000366
scalpel loading,force (N),0.1854224026203155,1.871652355194092
scalpel loading,force (N),0.2773188531398773,1.9414817667007445
scalpel loading,force (N),0.3684019148349762,2.011329174041748
scalpel loading,force (N),0.4586743175983429,2.081181745529175
scalpel loading,force (N),0.5481388092041015,2.1511147594451905
scalpel loading,force (N),0.636798119544983,2.221055951118469
scalpel loading,force (N),0.7246549606323243,2.2912218093872068
scalpel loading,force (N),0.8117120862007141,2.361245989799499
scalpel loading,force (N),0.8979722142219544,2.43141261100769
scalpel loading,force (N),0.9834380984306336,2.501419906616211
scalpel loading,force (N),1.0681124448776247,2.571625623703002
scalpel loading,force (N),1.151998007297516,2.641765441894531
scalpel loading,force (N),1.2350975036621097,2.711958184242248
scalpel loading,force (N),1.317413687705994,2.782262363433837
scalpel loading,force (N),1.3989492654800415,2.852672524452209
scalpel loading,force (N),1.4797070026397707,2.9229021692276
scalpel loading,force (N),1.5596895933151245,2.993178811073302
scalpel loading,force (N),1.638899803161621,3.0636647224426263
scalpel loading,force (N),1.717340397834778,3.1342744541168206
scalpel loading,force (N),1.795013999938965,3.204794073104858
scalpel loading,force (N),1.871923422813416,3.2753176212310784
scalpel loading,force (N),1.9480714082717887,3.3458612680435182
scalpel loading,force (N),2.023460674285889,3.41642852306366
scalpel loading,force (N),2.098093914985657,3.48710355758667
scalpel loading,force (N),2.171973943710327,3.488790745735169
scalpel loading,force (N),2.245103406906128,3.490442361831666
scalpel loading,force (N),2.3174850940704346,3.492230272293092
scalpel loading,force (N),2.389121675491333,3.493770213127137
scalpel loading,force (N),2.4600159168243407,3.495496101379395
scalpel loading,force (N),2.5301705837249755,3.497464952468872
scalpel loading,force (N),2.599588394165039,3.499393920898437
scalpel loading,force (N),2.668272066116333,3.5013677978515623
scalpel loading,force (N),2.7362243652343747,3.503092603683472
scalpel loading,force (N),2.803447961807251,3.5049057006835938
scalpel loading,force (N),2.869945621490479,3.5065235471725464
scalpel loading,force (N),2.935720109939576,3.508146533966064
scalpel loading,force (N),3.000774097442628,3.510114488601685
scalpel loading,force (N),3.065110349655152,3.512078061103821
scalpel loading,force (N),3.128731679916382,3.5138701868057254
scalpel loading,force (N),3.191640758514404,3.515415935516357
scalpel loading,force (N),3.253840208053589,3.516920065879822
scalpel loading,force (N),3.3153329372406004,3.518565511703492
scalpel loading,force (N),3.3761215209960938,3.520077385902405
scalpel loading,force (N),3.436208724975586,3.521769022941589
scalpel loading,force (N),3.4955973625183105,3.523355693817139
scalpel loading,force (N),3.554290151596069,3.525115566253662
scalpel loading,force (N),3.612289762496948,3.526953072547913
scalpel loading,force (N),3.669599008560181,3.528579859733582
scalpel loading,force (N),3.726220655441284,3.529977316856384
scalpel loading,force (N),3.782157230377197,3.5313742113113404
scalpel loading,force (N),3.837411642074585,3.5329488945007324
scalpel loading,force (N),3.891986513137817,3.5344523811340327
scalpel loading,force (N),3.94588475227356,3.5359670400619505
scalpel loading,force (N),3.999108934402466,3.537497062683105
scalpel loading,force (N),4.05166187286377,3.539094209671021
scalpel loading,force (N),4.103546285629273,3.5406505823135377
scalpel loading,force (N),4.154764938354492,3.5419894361495974
scalpel loading,force (N),4.205320453643799,3.5435116291046147
scalpel loading,force (N),4.2552155494689945,3.544988608360291
scalpel loading,force (N),4.304453086853028,3.546417741775513
scalpel loading,force (N),4.353035736083985,3.5477275133132937
scalpel loading,force (N),4.400966262817383,3.5490647888183595
scalpel loading,force (N),4.448247337341309,3.550452766418457
scalpel loading,force (N),4.494881820678711,3.551696348190308
scalpel loading,force (N),4.540872383117676,3.5528214883804323
scalpel loading,force (N),4.586221694946289,3.554393439292908
scalpel loading,force (N),4.6309325218200685,3.555828123092652
scalpel loading,force (N),4.675007629394531,3.557093334197998
scalpel loading,force (N),4.718449687957763,3.558263945579529
scalpel loading,force (N),4.761261463165283,3.559545569419861
scalpel loading,force (N),4.803445720672608,3.560749402046204
scalpel loading,force (N),4.845005130767823,3.5619327306747435
scalpel loading,force (N),4.885942459106446,3.563176026344299
scalpel loading,force (N),4.926260375976563,3.616864490509033
scalpel loading,force (N),4.965961647033692,3.670545725822449
scalpel loading,force (N),5.005049037933349,3.724213528633118
scalpel loading,force (N),5.043525314331054,3.777733478546143
scalpel loading,force (N),5.081393241882324,3.831485028266907
scalpel loading,force (N),5.118655490875244,3.885010361671448
scalpel loading,force (N),5.155314826965332,3.938396253585816
scalpel loading,force (N),5.1913739204406735,3.991942644119263
scalpel loading,force (N),5.226835536956788,4.045282621383668
scalpel loading,force (N),5.261702346801758,4.098753700256347
scalpel loading,force (N),5.295977210998535,4.152253308296203
scalpel loading,force (N),5.329662704467774,4.205870680809021
scalpel loading,force (N),5.362761688232422,4.259400095939636
