condition,measure,observed,estimated
force loading,force (N),0.100000001,0.162947282
force loading,force (N),0.100000001,0.166018531
force loading,force (N),0.100000001,0.170496359
force loading,force (N),0.141421363,0.193175778
force loading,force (N),0,0.248953432
force loading,force (N),0.100000001,0.312380016
force loading,force (N),0,0.347832292
force loading,force (N),0.100000001,0.314532012
force loading,force (N),0,0.307796836
force loading,force (N),0.100000001,0.302534521
force loading,force (N),0.100000001,0.289817005
force loading,force (N),0.100000001,0.290685087
force loading,force (N),0,0.304755986
force loading,force (N),0,0.385262638
force loading,force (N),0.100000001,0.307803005
force loading,force (N),0,0.29480496
force loading,force (N),0.223606825,0.210954234
force loading,force (N),0.100000001,0.391997993
force loading,force (N),0.100000001,0.267521769
force loading,force (N),0.200000003,0.210183695
force loading,force (N),0.200000003,0.219098866
force loading,force (N),0.141421363,0.334807694
force loading,force (N),0.200000003,0.340393484
force loading,force (N),0.100000001,0.249856755
force loading,force (N),0,0.186024234
force loading,force (N),0.200000003,0.224160001
force loading,force (N),0,0.34491998
force loading,force (N),0.100000001,0.301357597
force loading,force (N),0.100000001,0.261701852
force loading,force (N),0.100000001,0.381247342
force loading,force (N),0,0.280858845
force loading,force (N),0,0.312384129
force loading,force (N),0,0.304533303
force loading,force (N),0.100000001,0.362340063
force loading,force (N),0,0.386363983
force loading,force (N),0.100000001,0.438934565
force loading,force (N),0,0.324461043
force loading,force (N),0,0.41159305
force loading,force (N),0.200000003,0.485639811
force loading,force (N),0.100000001,0.630887568
force loading,force (N),0.200000003,0.536089659
force loading,force (N),0.100000001,0.421146035
force loading,force (N),0.100000001,0.42864272
force loading,force (N),0,0.364815444
force loading,force (N),0,0.358787209
force loading,force (N),0.100000001,0.218544602
force loading,force (N),0.100000001,0.207025617
force loading,force (N),0,0.312834114
force loading,force (N),0.141421363,0.32244882
force loading,force (N),0.100000001,0.328934848
force loading,force (N),0.100000001,0.442809403
force loading,force (N),0.223606825,0.583552182
force loading,force (N),0.100000001,0.512036204
force loading,force (N),0,0.561563313
force loading,force (N),0.100000001,0.296801001
force loading,force (N),0,0.260656744
force loading,force (N),0.141421363,0.171510339
force loading,force (N),0.100000001,0.238644019
force loading,force (N),0.100000001,0.255201906
